latitude,longitude,Id_cluster
50.6344931,3.0311902,1
48.8925356,2.2724208,1
50.6057446,3.0329015,1
50.60751,3.0328913,1
44.9137014,4.9054002,2
48.7959793,2.4528425,1
50.4161175,1.564099,1
45.8136934,1.2397782,3
43.3100687,5.3723015,5
49.4397836,1.1061441,1
43.5566623,1.4264766,3
45.9322381,6.1172059,2
45.7496618,4.8358907,2
48.9249789,2.2362185,1
48.8708091,2.2224052,1
45.2008162,5.7446182,2
48.4018937,-4.5282832,4
50.6084479,3.0343226,1
46.3173673,-0.4617038,4
48.7567961,2.3036724,1
49.4284956,1.0967405,1
43.181018,3.000148,3
48.8663636,2.4020051,1
48.8284833,2.3390837,1
48.8782539,2.3776337,1
48.8370175,2.3399281,1
48.8227046,2.3325473,1
48.8387697,2.2739432,1
48.8419046,2.4066858,1
48.8829019,2.3533116,1
46.0426677,4.0790163,2
47.7530774,-3.3570798,4
41.9230321,8.7329613,5
48.7967249,2.4657507,1
43.6097722,1.4013302,3
44.8275153,-0.6078081,3
44.7989033,-0.5741581,3
48.4111177,2.6973835,1
43.6018888,3.9137096,5
47.042212,-0.8967341,4
48.8738281,2.3676232,1
42.7255393,2.8895795,3
44.7859668,-0.659502,3
48.7844525,2.2732164,1
48.7218958,2.4527106,1
45.7573668,3.0920736,2
49.0026873,1.9115473,1
48.0831727,-1.6530476,4
47.3877776,0.6696169,1
48.7969523,2.361662,1
48.8799066,2.4029431,1
48.8102596,2.3537169,1
43.1336798,5.9301834,5
48.9145918,2.4237883,1
43.4390333,6.7518601,5
49.9186428,1.0786551,1
43.465509,1.3381931,3
48.6917091,2.2916184,1
43.6517982,1.5106238,3
47.7250535,7.3433698,0
43.326265,-0.3469779,3
43.9258272,2.1424676,3
43.2904693,5.395108,5
49.0016641,2.2704902,1
48.8776062,2.4532046,1
48.9095822,2.488021,1
48.9081917,2.3102185,1
43.112405,0.7106877,3
48.8439535,2.4265211,1
46.7982839,1.6952022,1
48.8990145,2.331758,1
43.3399156,3.2546494,5
47.9859996,-4.0955851,4
48.9187371,2.0227644,1
48.9352707,2.3748594,1
46.1229198,3.435529,2
48.5761071,7.7448917,0
43.8476738,4.3744648,5
50.2781227,3.959225,1
46.0049906,4.6942242,2
48.5932911,7.7070877,0
50.6083318,3.0342974,1
50.1649398,3.2249241,1
47.350201,0.7120519,1
48.6845827,6.1917704,0
49.4400647,1.1090297,1
48.9537109,2.5240401,1
43.9013466,-0.4971132,3
48.9408157,2.5723889,1
44.9264994,2.4361419,3
48.9984026,1.6740774,1
48.8487985,2.2354703,1
48.570405,-3.8327882,4
48.0752245,7.3372909,0
48.7973684,7.7778465,0
43.8937502,-0.4857972,3
48.2781851,4.069502,1
46.6766932,5.5503543,2
46.3159965,4.8136687,2
48.8299205,2.1197838,1
43.2203681,0.0558135,3
44.8636751,-0.5791631,3
45.2417006,4.6653031,2
43.4847675,-1.4645881,3
47.8044781,3.5559711,1
43.5354691,5.4433612,5
44.4448763,1.4364012,3
45.4144011,4.394414,2
45.4282522,4.4180059,2
44.5224462,3.4906921,2
46.163928,1.8696375,3
49.5265171,0.1845867,1
43.2919537,5.5640544,5
45.8123216,1.2362064,3
48.7309145,2.2919351,1
48.7461877,7.3490899,0
49.4875619,0.1365213,1
45.1944791,0.7297196,3
48.8315367,2.1250948,1
49.2474231,2.4604676,1
43.0258239,1.6198498,3
46.5710876,3.3261792,2
50.4392582,2.818039,1
48.8539196,2.4084397,1
43.27584,5.5311265,5
48.6560962,4.9648353,0
48.8481564,2.772111,1
45.169131,1.5340025,3
50.6511066,2.9728142,1
48.9674603,2.8864903,1
44.0064179,1.3793092,3
43.3265988,5.4151617,5
48.8452229,2.3155582,1
44.5688839,4.7828759,2
44.8337112,-0.5791508,3
46.2240864,5.2102101,2
43.5603887,1.4521396,3
50.2956425,2.7580656,1
49.4255445,1.0858874,1
48.8485322,2.3824582,1
43.9190406,4.8020223,5
48.8332331,2.5266679,1
45.7816895,4.8310825,2
44.0231385,1.3509201,3
48.880681,2.1067685,1
49.8607984,3.2693608,1
44.5571762,6.0729358,5
49.2746385,-0.7013115,4
45.1863969,5.760274,2
48.712331,2.4956205,1
48.8142761,2.255685,1
48.6990851,2.1861337,1
43.6894365,7.241645,5
48.6378631,-2.007571,4
47.6643825,-2.7456812,4
43.7116475,-1.0399162,3
48.6816353,2.5394854,1
49.1551295,5.3822433,0
49.3732047,6.1494439,0
49.19816,-0.3806705,4
46.1411607,6.3206932,2
48.3925818,-4.4950099,4
47.3204203,5.0693554,2
49.5632444,3.6112291,1
43.6298922,3.8517146,5
45.7859285,3.1103053,2
43.2201707,2.395562,3
49.3055711,1.0424484,1
51.0379411,2.3985161,1
43.1239837,5.9756306,5
48.7268392,1.3852164,1
43.3139531,5.4104818,5
44.9184786,-0.2290177,3
48.1206196,-1.6946892,4
50.3602888,3.5014134,1
50.6847018,2.8678808,1
48.3945255,-4.4866732,4
50.514945,2.6688797,1
45.743482,4.8821987,2
45.7407846,4.8908257,2
45.7460646,4.9006983,2
45.7490851,4.8992505,2
49.4641374,1.1125814,1
48.88561,2.6299658,1
46.7770519,4.840724,2
47.6367477,6.1397503,0
46.9790244,3.1221713,2
49.3857809,2.7895342,1
48.4254494,0.0844081,4
43.2624725,5.4091814,5
44.0714958,6.17387,5
46.2109352,5.2533088,2
47.3899785,0.6804971,1
48.8393556,2.1694484,1
45.5648641,5.9108402,2
49.1238709,6.2435684,0
48.192847,3.2984288,1
50.7026566,2.2535934,1
48.9411766,2.3470061,1
43.6572637,4.6336388,5
43.2752785,5.3926682,5
50.7455712,3.1814065,1
50.6797338,3.1725315,1
50.1023006,1.8313298,1
48.4206782,1.506739,1
48.8377337,2.365283,1
43.5636782,7.0045937,5
50.6105208,3.034724,1
43.3028467,5.4320892,5
47.6036884,1.3433445,1
48.6514303,1.8251817,1
43.7245761,7.2821761,5
48.6471211,6.1496974,0
46.3419595,2.6097723,2
44.8889561,-0.616115,3
43.270265,5.4159596,5
43.2825651,5.3799044,5
43.6608664,7.1864607,5
48.4213801,2.1496533,1
48.178603,6.4540439,0
43.6391371,5.1034347,5
45.7882062,4.7866074,2
46.1600855,-1.1437911,4
45.6352634,0.119542,3
45.7466605,-0.6540077,3
48.492093,-2.7503773,4
45.051103,3.8786249,2
43.6352771,3.8916603,5
48.9445286,2.2375052,1
46.6681919,-1.4136681,4
45.4815842,4.3615623,2
49.1447135,0.2323421,1
48.9715968,4.3701975,1
43.2484803,5.4275743,5
49.5190446,0.5434783,1
43.7410341,7.2780428,5
46.3595551,6.4803916,2
49.0637296,2.0957275,1
43.2895552,5.4035599,5
43.4824696,-1.4805736,3
49.7622265,4.6984626,0
45.5959425,5.2453847,2
46.5568176,0.386271,3
44.8360749,-0.6051736,3
43.6605062,1.3117182,3
49.2285998,4.0205977,1
48.7014021,6.1396144,0
49.1114197,6.7229032,0
47.8698751,-3.5561472,4
49.1048393,-1.1077456,4
48.6932922,-1.3519387,4
48.0637015,-0.7834437,4
47.2672782,-2.257103,4
43.4074988,3.6698949,5
48.7490384,-0.5402104,4
49.0319928,1.1147324,1
47.4332262,0.6676765,1
49.3703028,3.3343424,1
44.1466,4.0964104,5
50.9407264,1.8917482,1
49.44858,2.0700538,1
49.8726387,2.2538897,1
43.9301526,2.1651324,3
48.6201628,2.4569349,1
43.5019285,5.4378527,5
50.337892,3.1035315,1
50.4143509,1.6628597,1
50.7225361,1.6293843,1
48.5574986,2.6430568,1
48.5447317,3.303365,1
48.7781858,1.9894983,1
48.9054858,2.3891656,1
48.8982664,2.5719622,1
48.7884465,2.2559101,1
47.0850215,2.4383381,1
43.5828674,1.5082837,3
43.6310015,0.5770142,3
43.6012944,7.1187102,5
44.2172808,0.6351733,3
44.3601354,2.5514513,3
43.5661592,2.2620825,3
42.695914,2.8651977,3
43.5493383,6.4450733,5
42.6814608,9.4273076,5
43.6196592,6.9305256,5
48.7023662,6.2174035,0
43.4127492,5.0387835,5
48.7952702,2.3486738,1
49.2182842,4.0019162,1
49.0531272,3.4126322,1
48.8428379,2.2048698,1
48.9916053,2.4496969,1
49.0832214,6.2405267,0
47.9970669,2.7726893,1
49.4413823,1.1140475,1
48.8435512,2.3549103,1
43.6303284,3.8627305,5
